Monitor,Model,ID Dataset,OOD Dataset,OOD Type,Case,Num optimization set samples,Num evaluation set samples,Ratio Reject Optimization set Expected,Ratio Reject Evaluation set Expected,Optimal approach,Optimal_threshold,Cheat threshold evaluation,Optimal score_optimization set,Precision_optimization,Recall_optimization,Specificity_optimization,Optimal score_evaluation,Cheat score evaluation,f1-score_evaluation,gmean_evaluation,youden_evaluation,recall-score_evaluation,precision-score_evaluation,accuracy-score_evaluation,specificity-score_evaluation,fpr-score_evaluation,tpr-score_evaluation,MCC-score_evaluation,Kappa-score_evaluation,AUROC-score_optimization,AUPR_rejectPosi-score_optimization,TPR@95TNR-score_optimization,AUROC-score_evaluation,AUPR_rejecPosi-score_evaluation,TPR@95TNR-score_evaluation
MaxSoftmaxProbabilityMonitor,resnet,cifar10,cifar100,novelty_cifar100,Case0,5000,10000,0.0638,0.5314,f1,-0.978739,-0.998278,0.526072,0.417279412,0.711598746,0.932279427,0.74327,0.84442,0.74327,0.764048,0.557227,0.628717,0.908868,0.7692,0.92851,0.07149,0.628717,0.576713914,0.545950587,0.928585109,0.473132642,0.605015674,0.896145233,0.897689141,0.51392548
MaxSoftmaxProbabilityMonitor,resnet,cifar10,cifar100,novelty_cifar100,Case1,10000,10000,0.5319,0.5314,f1,-0.998392,-0.998278,0.843889,0.81444561,0.875540515,0.77333903,0.8422,0.84442,0.8422,0.818262,0.641105,0.881822,0.805986,0.8244,0.759283,0.240717,0.881822,0.648490572,0.645172298,0.896404742,0.897522691,0.531866892,0.896145233,0.897689141,0.51392548
MaxSoftmaxProbabilityMonitor,resnet,cifar10,cifar100,novelty_cifar100,Case2,106032,10000,0.747934586,0.5314,f1,-0.999754,-0.998278,0.857818,0.753745953,0.995233592,0.035207842,0.728086,0.84442,0.728086,0.402754,0.157958,0.994919,0.574112,0.6051,0.163039,0.836961,0.994919,0.292051101,0.166116727,0.624144085,0.78279584,0.045444802,0.896145233,0.897689141,0.51392548
MaxSoftmaxProbabilityMonitor,resnet,cifar10,cifar100,novelty_cifar100,Case3,101032,10000,0.735460052,0.5314,f1,-0.999754,-0.998278,0.849853,0.741478184,0.995330059,0.035207842,0.728086,0.84442,0.728086,0.402754,0.157958,0.994919,0.574112,0.6051,0.163039,0.836961,0.994919,0.292051101,0.166116727,0.624943817,0.771750492,0.044896037,0.896145233,0.897689141,0.51392548
MaxSoftmaxProbabilityMonitor,resnet,cifar10,cifar100,novelty_cifar100,Case0,5000,10000,0.0638,0.5314,gmean,-0.995693,-0.997179,0.875742,0.312638581,0.884012539,0.867549669,0.819931,0.828502,0.821622,0.819931,0.641275,0.786601,0.859905,0.8185,0.854673,0.145327,0.786601,0.640256589,0.637632635,0.928585109,0.473132642,0.605015674,0.896145233,0.897689141,0.51392548
MaxSoftmaxProbabilityMonitor,resnet,cifar10,cifar100,novelty_cifar100,Case1,10000,10000,0.5319,0.5314,gmean,-0.997648,-0.997179,0.828955,0.840105342,0.83963151,0.818414869,0.827949,0.828502,0.840512,0.827949,0.656303,0.846443,0.834663,0.8293,0.809859,0.190141,0.846443,0.656998429,0.656923785,0.896404742,0.897522691,0.531866892,0.896145233,0.897689141,0.51392548
MaxSoftmaxProbabilityMonitor,resnet,cifar10,cifar100,novelty_cifar100,Case2,106032,10000,0.747934586,0.5314,gmean,-0.989999,-0.997179,0.619509,0.820405093,0.728831726,0.526583605,0.796621,0.828502,0.787087,0.796621,0.604102,0.708882,0.884688,0.7962,0.89522,0.10478,0.708882,0.609660095,0.596163562,0.624144085,0.78279584,0.045444802,0.896145233,0.897689141,0.51392548
MaxSoftmaxProbabilityMonitor,resnet,cifar10,cifar100,novelty_cifar100,Case3,101032,10000,0.735460052,0.5314,gmean,-0.99002,-0.997179,0.620432,0.811062178,0.731162102,0.526471359,0.796727,0.828502,0.787214,0.796727,0.60429,0.70907,0.884715,0.7963,0.89522,0.10478,0.70907,0.609831514,0.596356692,0.624943817,0.771750492,0.044896037,0.896145233,0.897689141,0.51392548
MaxSoftmaxProbabilityMonitor,resnet,cifar10,cifar100,novelty_cifar100,Case0,5000,10000,0.0638,0.5314,95tnr,-0.95523,-0.947638,0,0.450934579,0.605015674,0.949797052,0,0,0.677124,0.712249,0.482354,0.536131,0.918736,0.7283,0.946223,0.053777,0.536131,0.520395623,0.469258939,0.928585109,0.473132642,0.605015674,0.896145233,0.897689141,0.51392548
MaxSoftmaxProbabilityMonitor,resnet,cifar10,cifar100,novelty_cifar100,Case1,10000,10000,0.5319,0.5314,95tnr,-0.95523,-0.947638,0,0.923302872,0.531866892,0.949797052,0,0,0.677124,0.712249,0.482354,0.536131,0.918736,0.7283,0.946223,0.053777,0.536131,0.520395623,0.469258939,0.896404742,0.897522691,0.531866892,0.896145233,0.897689141,0.51392548
